漢字,羅馬字,來源,會用得無
!,!,詞彙分級
!,！,詞彙分級
"""",“,詞彙分級
"""",”,詞彙分級
#,!,詞彙分級
#,#,詞彙分級
#,‘,詞彙分級
#,’,詞彙分級
#,“,詞彙分級
#,”,詞彙分級
%,%,詞彙分級
(,(,詞彙分級
),),詞彙分級
),.,詞彙分級
",",",",itaigi
",",",",詞彙分級
.,",",itaigi
.,.,詞彙分級
...,...,詞彙分級
/,/,詞彙分級
0,0,詞彙分級
002,002,詞彙分級
0204,0204,詞彙分級
1,1,詞彙分級
1,it4,詞彙分級
1,tsit8,詞彙分級
10,10,詞彙分級
100,100,詞彙分級
1000,1000,詞彙分級
101,101,詞彙分級
102,102,詞彙分級
105,105,詞彙分級
11,11,詞彙分級
119,119,詞彙分級
12,12,詞彙分級
120,120,詞彙分級
122,122,詞彙分級
1234567,1234567,詞彙分級
125,125,詞彙分級
1250,1250,詞彙分級
127,127,詞彙分級
128,128,詞彙分級
13,13,詞彙分級
1357246,1357246,詞彙分級
139,139,詞彙分級
14,14,詞彙分級
1400,1400,詞彙分級
147,147,詞彙分級
15,15,詞彙分級
150,150,詞彙分級
1500,1500,詞彙分級
155,155,詞彙分級
16,16,詞彙分級
160,160,詞彙分級
1647,1647,詞彙分級
165,165,詞彙分級
1662,1662,詞彙分級
1695,1695,詞彙分級
17,17,詞彙分級
1796,1796,詞彙分級
18,18,詞彙分級
180,180,詞彙分級
1809,1809,詞彙分級
1815,1815,詞彙分級
1821,1821,詞彙分級
18351879,1835-1879,詞彙分級
1844,1844,詞彙分級
1851,1851,詞彙分級
1854,1854,詞彙分級
1855,1855,詞彙分級
186,186,詞彙分級
1865,1865,詞彙分級
1871,1871,詞彙分級
1874,1874,詞彙分級
1878,1878,詞彙分級
188,188,詞彙分級
1884,1884,詞彙分級
1885,1885,詞彙分級
1887,1887,詞彙分級
1891,1891,詞彙分級
1895,1895,詞彙分級
1895,1985,詞彙分級
1898,1898,詞彙分級
1899,1899,詞彙分級
19,19,詞彙分級
1900,1900,詞彙分級
1901,1901,詞彙分級
1902,1902,詞彙分級
1903,1903,詞彙分級
1906,1906,詞彙分級
1908,1908,詞彙分級
1910,1910,詞彙分級
1911,1911,詞彙分級
1915,1915,詞彙分級
1917,1917,詞彙分級
1918,1918,詞彙分級
192,192,詞彙分級
1920,1920,詞彙分級
1930,1930,詞彙分級
1933,1993,詞彙分級
1935,1935,詞彙分級
1937,1937,詞彙分級
1939,1939,詞彙分級
1941,1941,詞彙分級
