A	ei
ACER	ei s er
ASUS	a s u s ii
Aluminum	a l u m i
Autobike	o d o bh ai
B	b i
B	bh i
Back	bh ak k u
C	s i
CD	s i d i
Call	k o
Copy	k o b i
Copy	k o p i
D	d i
E	i
F	e f u
F	e h u
Facebook	f ei s ii b u k er
Fb	e f u b i
Fb	e f u bh i
Four-G	s ii z i
G	z i
Golf	gh o l u h u
Google	g u g o
H	e c i
HTC	e c i t i s i
Handle	h en d o
I	ai
Iphone	ai f ong
J	z e
K	k ei
Kilo	k i l er
Kilo	k i l o
L	e l o
Line	l ai
Line	l ai n
M	e m u
N	en
Notebook	n o b u k er
Notebook	n o t er b u k er
O	ou
P	p i
PC	p i s i
PcHome	p i s i h ong
Percent	p a
Percent	p a s en
Percent	p a s en d o
Plus p u l a s ii
Q	k iu
R	a
S	e s ii
Samsung	s am s ong
Seafood	s i f u
Seven-Eleven	s e bh ern
Seven-Eleven	s e bh ern it l e bh ern
Seven-Eleven	s e bh un
Seven-Eleven	s e bh un it l e bh un
Short	s io d o
Sony	s o n i
StarBuck	s ii d a b a
T	t i
Three-C	s an s i
Three-G	s an z i
U	iu
UBike	iu b ai
UBike	iu b ai k er
Uber	iu b er
Uber	u b er
V	bh ui
W	d a b u l iu
Wifi	uai f ai
X	c a
X	e k er s ii
Y	u ai
Yahoo	ia h u
Z	l i
