!SIL SIL
<NOISE> SIL
<SPOKEN_NOISE> SIL
<unk> SIL
A	ei
ACER	ei s er
ASUS	a s u s ii
Aluminum	a l u m i
Autobike	o d o bh ai
B	b i
B	bh i
Back	bh ak k u
C	s i
CD	s i d i
Call	k o
Copy	k o b i
Copy	k o p i
D	d i
E	i
F	e f u
F	e h u
Facebook	f ei s ii b u k er
Fb	e f u b i
Fb	e f u bh i
Four-G	s ii z i
G	z i
Golf	gh o l u h u
Google	g u g o
H	e c i
HTC	e c i t i s i
Handle	h en d o
I	ai
Iphone	ai f ong
J	z e
K	k ei
Kilo	k i l er
Kilo	k i l o
L	e l o
Line	l ai
Line	l ai n
M	e m u
N	en
Notebook	n o b u k er
Notebook	n o t er b u k er
O	ou
P	p i
PC	p i s i
PcHome	p i s i h ong
Percent	p a
Percent	p a s en
Percent	p a s en d o
Plus p u l a s ii
Q	k iu
R	a
S	e s ii
Samsung	s am s ong
Seafood	s i f u
Seven-Eleven	s e bh ern
Seven-Eleven	s e bh ern it l e bh ern
Seven-Eleven	s e bh un
Seven-Eleven	s e bh un it l e bh un
Short	s io d o
Sony	s o n i
StarBuck	s ii d a b a
T	t i
Three-C	s an s i
Three-G	s an z i
U	iu
UBike	iu b ai
UBike	iu b ai k er
Uber	iu b er
Uber	u b er
V	bh ui
W	d a b u l iu
Wifi	uai f ai
X	c a
X	e k er s ii
Y	u ai
Yahoo	ia h u
Z	l i
一	i
一     it
一    z it
一    z it  e
一一	i i
一下	i s ia
一下    z it  e
一下子    z it  e  a
一些	i s ie
一些    g ua
一些    z it g ua
一切	i c ie
一切     it c e
一半	i b an
一半    z it b uann
一同	i t ong
一向	i s iang
一定	i d ing
一定     it d ing
一定     un
一定    d iann d iorh
一定    z uat d ui
一方面	i f ang m ien
一旦	i d an
一時    z it s i
一樣	i iang
一生	i sh ng
一生     it s ing
一生    z it s i l ang
一百    z it b ah
一直	i zh ii
一直     it d it
一直    d it d it
一致	i zh ii
一般	i b an
一般     it b uann
一起	i c i
一起    d ang z e
一起    d au d in
一起    z or d in
一起    z or h ue
一路	i l u
一邊	i b ien
一陣一陣    z it z un z it z un
一陣子    z it k un  a
